locale	tatoeba_lang	sentence_id	author	added_utc	modified_utc	license	sentence_url	review_state	source_row_sha256	sentence
de	deu	77	ludoviko	\N	2010-10-11 09:53:14	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/77	human-contributed-unreviewed	abc489ef1ccc868266c08f46ab8be6e2079364a266b493fe7730e2d625808080	Lass uns etwas versuchen!
de	deu	78	cburgmer	\N	2010-02-15 09:06:02	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/78	human-contributed-unreviewed	cc31f990f2ff3bcab98e7f3aa632be5de6d9d525244e90c27a8f47b65731df12	Ich muss schlafen gehen.
de	deu	80	TRANG	2008-09-08 09:20:59	\N	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/80	human-contributed-unreviewed	d83e138b1b643afcd3d758b7459a493d3b3363f4006bbfd6c9b1039b148a9743	Was ist das?
de	deu	81	ludoviko	\N	2010-10-11 09:54:26	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/81	human-contributed-unreviewed	950147ce96bd9d01d490eb3a75d03bf1581d8883767f389f0fdc4e8bffcf2d3c	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!
de	deu	82	ludoviko	\N	2010-10-14 10:44:27	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/82	human-contributed-unreviewed	3dcf9dd83cd2d017045cdfdc2cf7ce173ca78ac813c6528d7b004a375ac64ddc	Herzlichen Glückwunsch zum Geburtstag, Muiriel!
de	deu	83	ludoviko	\N	2010-10-14 10:44:37	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/83	human-contributed-unreviewed	1b7a1f2fcd9f3a83a0cddf4c716afb60cbe992c356b683d24915a7c2378ea6ce	Muiriel ist jetzt 20.
de	deu	84	ludoviko	\N	2010-10-14 10:48:36	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/84	human-contributed-unreviewed	b48f61e077ee9bb2c0d50db109a3dfc36a35e69f53f6381ac1eaa6f696d6732b	Das Passwort ist "Muiriel".
de	deu	85	ludoviko	\N	2010-10-14 10:49:44	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/85	human-contributed-unreviewed	5262f4dd16423d5b7aea9f505f939899e11795298349b1d346980e2c88303715	Ich werde bald zurück sein.
de	deu	87	ludoviko	\N	2010-10-14 10:51:37	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/87	human-contributed-unreviewed	259af8497df0590db76b9489fad8f2c63bf03cd27d7bc6308ae5af3374d1356d	Ich finde keine Worte.
de	deu	88	ludoviko	\N	2010-10-14 10:53:28	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/88	human-contributed-unreviewed	cd4b1d45c1f66474199863875f70622751c4272fa19b2fc3cfe4106a22bc3b57	Das wird nie enden.
de	deu	89	ludoviko	\N	2014-04-27 23:07:46	CC-BY-2.0-FR	https://tatoeba.org/en/sentences/show/89	human-contributed-unreviewed	2b4303a73876cea3ef7646f88e815c81497ad3e7aaec31a19fd09d8c712a79a8	Ich weiß einfach nicht, was ich sagen soll.
