en_US	en-1	The morning light came through the window and the room was quiet.
en_US	en-2	Please bring the blue notebook to the kitchen before lunch.
en_US	en-3	We walked along the river until the rain began to fall.
en_US	en-4	The body keeps its own ledger and reads it every night.
de_DE	de-1	Am Morgen kam das Licht durch das Fenster und das Zimmer war still.
de_DE	de-2	Bitte bring das blaue Heft vor dem Mittagessen in die Küche.
de_DE	de-3	Wir gingen am Fluss entlang, bis der Regen begann.
de_DE	de-4	Der Körper führt sein eigenes Buch und liest es jede Nacht.
pt_BR	pt-1	A luz da manhã entrou pela janela e o quarto ficou em silêncio.
pt_BR	pt-2	Por favor, leve o caderno azul para a cozinha antes do almoço.
pt_BR	pt-3	Caminhamos ao longo do rio até a chuva começar.
pt_BR	pt-4	O corpo guarda o seu próprio livro e o lê todas as noites.
id_ID	id-1	Cahaya pagi masuk melalui jendela dan kamar itu sunyi.
id_ID	id-2	Tolong bawa buku catatan biru ke dapur sebelum makan siang.
id_ID	id-3	Kami berjalan di sepanjang sungai sampai hujan mulai turun.
id_ID	id-4	Tubuh menyimpan catatannya sendiri dan membacanya setiap malam.
es_ES	es-1	La luz de la mañana entró por la ventana y la habitación estaba en silencio.
es_ES	es-2	Por favor, lleva el cuaderno azul a la cocina antes del almuerzo.
es_ES	es-3	Caminamos junto al río hasta que empezó a llover.
es_ES	es-4	El cuerpo guarda su propio libro y lo lee cada noche.
fr_FR	fr-1	La lumière du matin entrait par la fenêtre et la chambre était silencieuse.
fr_FR	fr-2	Apporte le cahier bleu à la cuisine avant le déjeuner, s'il te plaît.
fr_FR	fr-3	Nous avons marché le long de la rivière jusqu'à ce que la pluie commence.
fr_FR	fr-4	Le corps tient son propre registre et le lit chaque nuit.
